@RELATION autor
@ATTRIBUTE author	REAL
@ATTRIBUTE title 	REAL
@ATTRIBUTE venue 	REAL
@ATTRIBUTE class 	INTEGER
@DATA
160,54,15, 154
161,39,36, 94
162,55,78, 95
163,15,84, 115
164,60,33, 96
165,65,15, 104
166,17,24, 115
167,58,29, 103
168,46,27, 96
169,38,21, 104
170,55,26, 115
171,29,120, 108
172,42,16, 104
173,37,25, 118
174,17,29, 151
175,52,16, 97
176,36,16, 106
177,60,38, 95
178,28,11, 142
179,40,28, 153
180,31,30, 105
181,39,13, 137
182,45,103, 115
183,60,46, 103
184,50,8, 108
185,47,14, 116
186,61,56, 98
187,44,22, 97
188,55,16, 106
189,47,85, 109
190,50,27, 94
191,22,9, 115
192,75,8, 148
193,65,12, 151
194,61,64, 95
195,45,72, 115
196,66,22, 115
197,62,14, 133
198,98,52, 95
199,42,16, 103
200,48,78, 95
201,42,24, 129
202,62,13, 115
203,60,61, 95
204,43,33, 116
205,64,22, 151
206,29,78, 98
207,59,37, 107
208,58,24, 126
209,55,13, 115
210,31,34, 104
211,34,16, 115
212,34,93, 106
213,37,57, 106
214,4,44, 96
215,33,24, 112
216,70,24, 137
217,59,12, 151
218,39,16, 138
219,68,66, 104
220,19,25, 106
221,60,8, 126
222,37,28, 153
223,30,47, 109
224,41,32, 153
225,45,22, 133
226,52,25, 151
227,37,11, 94
228,54,18, 115
229,29,27, 106
230,37,17, 98
231,66,17, 115
232,55,36, 118
233,43,16, 133
234,16,40, 115
235,47,44, 98
236,43,5, 118
237,48,12, 151
238,17,19, 110
239,51,16, 153
240,45,16, 115
241,34,52, 96
242,52,6, 104
243,79,9, 96
244,43,23, 131
245,22,4, 110
246,61,115, 146
247,42,24, 133
248,43,32, 153
249,70,64, 95
250,37,8, 115
251,42,8, 148
252,56,38, 95
253,67,45, 137
254,40,35, 106
255,83,37, 105
256,27,34, 115
257,57,12, 151
258,23,37, 146
259,30,8, 115
260,66,75, 133
261,47,28, 131
262,52,36, 94
263,42,31, 115
264,56,24, 137
265,35,15, 115
266,45,60, 106
267,52,83, 108
268,46,23, 99
269,81,23, 107
270,42,7, 118
271,65,51, 104
272,53,38, 104
273,64,30, 139
274,25,12, 151
275,31,27, 111
276,50,34, 115
277,63,28, 153
278,42,26, 104
279,27,16, 101
280,33,26, 104
281,80,31, 111
282,73,16, 103
283,44,14, 118
284,40,31, 136
285,45,30, 115
286,82,17, 96
287,77,38, 98
288,57,70, 146
289,47,53, 116
290,23,50, 106
291,68,5, 133
292,50,33, 116
293,41,21, 104
294,47,80, 98
295,41,8, 148
296,48,15, 104
297,44,11, 104
298,42,28, 123
299,51,64, 95
300,38,39, 118
301,45,33, 98
302,52,23, 151
303,26,102, 106
304,26,34, 108
305,63,50, 115
306,55,87, 95
307,56,43, 98
308,52,27, 98
309,26,97, 108
310,42,20, 97
311,30,23, 106
312,35,19, 115
313,60,30, 102
314,35,51, 109
315,62,33, 154
316,63,5, 98
317,51,30, 103
318,83,8, 148
319,29,0, 115
320,32,16, 97
321,22,3, 97
322,30,85, 106
323,34,22, 98
324,50,33, 116
325,65,3, 116
326,80,36, 96
327,74,12, 100
328,66,30, 123
329,77,52, 96
330,33,17, 111
331,30,24, 115
332,55,31, 107
333,35,21, 104
334,61,37, 123
335,77,47, 95
336,55,50, 98
337,42,68, 96
338,57,28, 96
339,51,70, 95
340,48,17, 104
341,39,19, 104
342,28,8, 148
343,29,21, 98
344,34,42, 98
345,24,14, 134
346,88,30, 95
347,49,61, 113
348,54,81, 98
349,43,16, 149
350,64,22, 128
351,69,25, 108
352,59,20, 104
353,44,11, 104
354,81,52, 96
355,86,30, 98
356,66,24, 104
357,22,13, 104
358,37,21, 97
359,81,11, 98
360,46,52, 115
361,40,27, 106
362,27,57, 108
363,59,30, 96
364,44,73, 115
365,52,9, 104
366,48,39, 108
367,56,6, 104
368,29,3, 148
369,36,21, 144
370,47,12, 122
371,60,46, 95
372,31,67, 146
373,22,40, 115
374,38,71, 116
375,24,27, 98
376,50,61, 95
377,37,64, 148
378,45,49, 104
379,46,16, 105
380,62,3, 148
381,45,9, 97
382,39,40, 153
383,61,17, 96
384,33,30, 138
385,36,5, 133
386,46,40, 115
387,69,25, 108
388,44,25, 137
389,36,16, 105
390,9,0, 104
391,26,16, 108
392,79,27, 151
393,54,5, 128
394,18,38, 147
395,75,41, 115
396,53,61, 113
397,50,35, 98
398,41,24, 112
